1 500 23,33,205,207,207,208,208,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,20,21,22,22,22,33,20,22,22,22,22,33,537,1448,387,1448,734,721,103,33,335,1275,971,215,27,33,1303,1448,1416,1448,1448,572,1448,250,140,33,457,1448,364,1448,369,814,32,33,888,1448,1448,215,1448,1448,938,1448,304,259,33,585,1448,236,1448,241,765,69,33,843,1448,1448,552,1448,1448,1448,22,1448,538,369,33,408,1325,1019,712,97,33,718,1448,1448,373,1448,1448,1200,1448,153,283,33,419,1366,1089,703,59,33,726,1448,1448,651,1448,1448,1448,251,1448,174,363,33,309,1185,819,606,105,33,920,1448,1448,1448,228,1448,1448,1448,1436,1448,692,527,33,241,921,570,527,94,33,1104,1448,1448,1448,1448,422,1448,1448,1448,1448,1448,497,1448,1234,679,33,395,1358,1109,709,118,33,681,1448,1448,635,1448,1448,663,1027,343,33,227,739,600,382,91,33,633,1448,1448,653,1448,1448,1003,1077,396,33,253,900,827,390,103,33,723,1448,1448,1024,1448,1448,1448,256,1448,84,529,33,265,983,915,507,139,33,671,1448,1448,1027,1448,1448,1448,24,1448,75,650,33,229,741,643,565,156,33,604,1448,1448,782,1448,1448,1251,1448,31,630,33,232,874,781,527,168,33,714,1448,1448,1138,1448,1448,1361,1448,88,656,33,248,928,692,602,190,33,636,1448,1448,1008,1448,1448,1252,1448,91,744,33,272,901,777,706,250,33,635,1448,1448,810,1448,1448,1293,1448,176,755,33,224,768,832,652,235,33,748,1448,1448,1151,1448,1448,1383,1448,246,752,33,257,770,698,589,302,33,489,1448,1448,469,1448,1448,1007,1448,104,743,33,184,720,628,630,294,33,484,1448,1448,486,1448,1448,794,1448,35,694,33,159,667,587,586,298,33,748,1448,1448,771,1448,1448,1082,1448,55,811,33,298,871,801,618,321,33,451,1448,1448,371,1448,1448,1004,1448,74,761,33,
2 500 203,674,717,614,348,33,618,1448,1448,125,1448,1448,515,1273,731,33,199,519,412,446,340,33,488,1448,1367,1448,1448,189,1158,712,33,204,661,598,510,370,33,817,1448,1448,821,1448,1448,1115,1448,776,1225,33,327,1218,1096,664,504,33,731,1448,1345,1448,1448,159,1448,1044,1420,33,263,659,698,399,363,33,778,1448,698,1448,1277,1448,1174,1448,96,33,93,381,646,187,142,33,1228,1448,1285,1448,1448,1313,1448,1448,1448,278,1448,1063,33,612,1299,1448,715,1448,766,1060,33,513,1228,1448,570,1448,259,683,33,149,358,689,480,121,33,515,1140,1448,576,1448,237,851,33,156,412,649,507,192,33,567,1315,1448,421,1448,351,672,33,235,341,586,420,117,33,595,1389,1448,522,1448,368,724,33,259,535,667,433,126,33,578,1269,1448,560,1448,595,622,33,158,342,510,530,130,33,542,1132,1448,215,1448,192,467,33,127,326,418,355,64,33,613,1448,27,1448,643,1448,929,814,33,254,583,659,575,178,33,592,1441,1448,693,1448,808,715,33,141,488,703,675,147,33,523,1448,48,1448,563,1448,804,647,33,197,580,868,660,167,33,475,1368,1448,321,1448,598,674,33,142,441,603,581,114,33,497,1188,1448,397,1448,745,740,33,194,482,627,659,140,33,571,1448,177,1448,539,1448,602,676,33,159,515,511,517,110,33,634,1448,225,1448,649,1448,714,663,33,183,552,629,480,105,33,641,1448,396,1448,546,1448,785,694,33,302,768,701,723,234,33,637,1448,218,1448,391,1448,528,684,33,291,621,637,566,156,33,588,1448,135,1448,523,1448,733,819,33,149,454,550,522,248,33,583,1448,202,1448,511,1448,670,799,33,187,546,539,596,199,33,482,1448,348,1448,619,1448,540,837,33,116,417,501,462,200,33,695,1448,493,1448,759,1448,1167,1139,33,223,769,859,646,314,33,608,1448,325,1448,535,1448,443,806,33,148,512,615,501,202,33,510,1418,1448,150,1448,97,701,33,158,561,492,571,208,33,510,1408,1448,205,1448,283,705,33,114,375,396,387,138,33,421,1338,1448,161,1448,85,516,33,118,424,438,327,120,33,1438,1448,1448,1448,1448,428,1448,1448,1448,1013,1448,1448,1448,218,1267,33,189,533,492,587,201,33,547,1448,1448,778,1448,1448,127,1448,503,407,33,119,466,665,378,68,33,205,1448,1448,172,1448,830,1315,124,33,88,456,495,443,58,33,208,1448,1448,188,1448,1017,
3 500 1448,47,96,33,99,496,598,459,55,33,258,1448,1427,1448,1108,1448,201,151,33,133,554,758,658,69,33,265,1448,977,1448,1372,1448,481,263,33,94,555,751,699,79,33,207,1448,1448,215,1448,1448,93,1448,487,236,33,67,394,503,836,66,33,163,1448,1391,1448,1406,1448,338,142,33,77,372,584,409,59,33,592,1448,1448,1307,1448,1448,1210,1448,1322,419,33,112,509,641,488,78,33,201,1448,1448,239,1448,1448,599,1448,555,203,33,99,625,745,489,68,33,383,1448,1448,845,1448,1448,1245,1448,966,256,33,64,617,785,633,65,33,181,1448,1397,1448,1448,526,1448,672,117,33,58,449,547,486,54,33,196,1448,1448,103,1448,1448,841,1448,926,105,33,55,318,632,484,53,33,105,1448,139,1448,495,1448,49,76,33,1448,43,1448,1448,1448,1448,1448,1129,1448,1448,1448,1448,1448,1448,324,1448,1448,1448,1448,1188,1365,33,252,1448,608,1448,1448,49,1448,737,333,33,67,313,572,472,79,33,193,1448,1448,383,1448,1448,1306,1448,1351,243,33,58,278,375,396,67,33,169,1448,1011,1448,1448,668,1448,702,201,33,51,530,821,605,62,33,117,1448,601,1448,1448,350,1448,553,123,33,44,258,623,476,53,33,141,1448,1127,1448,1448,662,1448,468,139,33,30,345,431,269,59,33,1417,1448,1448,1448,1448,1048,1448,1448,1448,607,1448,1448,1448,1448,1448,1448,1448,1210,1448,1448,835,33,388,1448,97,958,1448,1173,558,33,625,1448,1448,76,1448,506,1448,1448,1448,34,1014,33,224,718,419,726,157,33,846,1448,1448,546,1448,709,1448,1448,1448,695,1149,33,311,919,637,1129,259,33,834,1448,1448,900,1448,882,1448,1448,1448,595,951,33,321,1071,673,1096,194,33,721,1448,1448,114,1448,482,1448,1448,1245,846,33,215,838,522,1051,186,33,846,1448,1448,765,1448,752,1448,1448,1448,169,997,33,248,859,528,792,172,33,855,1448,1448,647,1448,916,1448,1448,1448,37,1089,33,261,861,485,818,211,33,863,1448,1448,397,1448,640,1448,1448,1181,1058,33,306,1046,740,1421,343,33,963,1448,1448,1007,1448,1205,1448,1448,1448,294,1195,33,275,866,600,872,223,33,1041,1448,1448,894,1448,1156,1448,1448,1448,164,1288,33,248,797,583,654,234,33,1312,1448,1448,1141,1448,1448,84,1448,1448,1448,165,1448,60,33,362,918,808,1029,393,33,1384,1448,1448,1203,1448,1448,142,1448,1448,1347,1339,33,328,708,684,781,272,33,1448,39,1448,1448,
4 500 1348,1448,1448,554,1448,1448,1448,273,1448,336,33,320,759,712,908,311,33,1448,108,1448,1448,1448,147,1448,1448,949,1448,1448,1448,473,1448,402,33,302,726,836,668,332,33,1194,1448,1448,524,1448,1428,1448,1448,99,1259,33,289,729,657,448,278,33,1424,1448,1448,901,1448,1448,545,1448,1448,969,1448,411,33,283,696,699,520,436,33,1448,197,1448,1448,1301,1448,1448,972,1448,1448,1448,13,1448,197,33,323,614,685,542,254,33,1216,1448,1448,37,1448,1448,441,1448,1448,315,1329,33,218,406,484,309,116,33,1448,285,1448,1448,1122,1448,1448,598,1448,1448,1448,745,1448,1102,33,862,1448,403,1109,994,211,33,1448,392,1448,1448,196,1448,929,1448,1105,827,33,793,1077,713,486,85,33,1448,162,1448,1223,1448,735,1448,1143,951,33,1061,1139,641,642,112,33,1421,1448,1201,1448,766,1448,1027,769,33,840,808,537,466,51,33,1448,51,1448,1448,71,1448,1059,1448,1448,115,1134,33,795,1103,637,641,99,33,154,307,307,307,174,33,984,1448,242,1023,1063,242,33,20,21,22,22,22,33,20,22,22,22,22,33,1126,1448,1448,1027,1448,1448,1448,426,1448,1448,1448,1448,1448,574,367,33,40,33,41,23,24,33,154,1427,1448,1014,1448,1448,1448,941,33,33,40,353,1194,1448,1448,420,24,33,188,1448,330,1448,1448,106,1448,1448,1448,878,27,33,48,818,1310,1448,1448,197,22,33,175,1231,1448,990,1448,1448,1448,564,29,33,31,562,1250,1448,1390,23,33,100,1448,243,1448,1072,1448,1448,1448,891,28,33,45,473,1146,1448,1448,427,24,33,114,1426,1448,1192,1448,1448,1448,1050,29,33,57,301,1306,1448,1448,280,22,33,236,1147,1448,1218,1448,1448,1448,984,28,33,43,291,1180,1448,1448,609,22,33,178,1448,960,1448,1448,1448,1448,1448,919,28,33,48,803,1179,1448,1448,467,22,33,96,1029,1448,515,1448,1448,1448,939,28,33,51,349,1052,1448,1448,332,23,33,167,1448,191,1448,1134,1448,1448,1448,997,27,33,49,520,1080,1448,1448,580,22,33,71,1448,263,1448,868,1448,1448,1448,466,26,33,43,533,1242,1448,1448,483,22,33,126,1448,824,1448,1448,319,1448,1448,1448,426,26,33,47,756,1076,1448,1364,22,33,135,1448,496,1448,1308,1448,1448,1448,421,28,33,69,1078,1448,214,1448,1404,22,33,90,1448,569,1448,1448,1154,1448,1448,1448,1439,26,33,65,917,1448,721,1448,1448,781,22,33,128,1414,1448,1367,1448,1448,1448,
5 500 668,22,33,54,541,1448,61,1448,1448,1000,22,33,199,1448,443,1448,1448,608,1448,1448,1448,1448,34,36,33,38,594,1448,40,1448,1448,1061,29,33,112,1448,142,1448,1448,33,1448,1448,1448,576,31,33,39,426,1183,1448,1448,411,24,33,1448,1448,275,1448,1448,1448,1256,1448,1448,1448,1448,1448,1448,1410,1448,1448,1448,1448,1448,1448,1448,1052,1448,661,33,89,771,1448,54,1448,1448,740,23,33,931,1270,1448,1297,1448,1448,1448,299,602,33,136,169,360,1114,78,33,581,937,1448,934,1448,1448,1324,458,33,79,118,389,1259,42,33,732,850,1448,500,1448,1448,1359,613,33,144,181,411,1124,44,33,748,824,1448,933,1448,1448,1448,249,631,33,109,170,467,1162,54,33,446,849,1448,821,1448,1448,1448,30,377,33,75,137,407,1250,51,33,571,1034,1448,1012,1448,1448,1448,380,466,33,140,163,411,1273,53,33,581,903,1448,464,1448,1448,1241,502,33,109,146,419,1171,36,33,633,1000,1448,1316,1448,1448,1448,246,565,33,130,178,470,1187,49,33,494,1050,1448,784,1448,1448,1233,433,33,129,148,359,1247,62,33,1448,1448,451,1448,1448,1448,1448,1448,428,1448,1448,1448,1448,1448,390,1448,1448,1448,1448,1448,1001,1448,1448,682,33,408,225,525,1448,595,237,33,1020,1448,1261,1448,1448,491,1448,1448,357,1366,33,413,1294,1052,820,437,33,765,1448,1280,1448,1448,714,1448,1419,994,33,283,1313,1084,742,288,33,752,1448,1375,1448,1448,358,1448,1412,1198,33,199,1031,921,783,321,33,888,1448,1378,1448,1448,237,1448,1448,138,1296,33,254,1020,1144,836,441,33,849,1448,1272,1448,1448,244,1448,1249,1319,33,317,1412,1004,699,381,33,867,1448,1082,1448,1448,153,1448,1448,37,1421,33,250,915,879,761,479,33,844,1448,1057,1448,1448,197,1448,1322,1438,33,289,972,1172,725,408,33,923,1448,1375,1448,1448,323,1448,1448,278,1448,21,33,266,811,999,923,458,33,1161,1448,1448,520,1448,1448,571,1448,1448,607,1448,283,33,261,885,895,932,458,33,1015,1448,1311,1448,1448,33,1448,1448,487,1448,184,33,337,931,829,1040,599,33,1273,1448,1448,177,1448,1448,445,1448,1448,1043,1448,316,33,394,839,870,1164,496,33,992,1448,1417,1448,1448,140,1448,1448,609,1448,109,33,368,874,870,1152,440,33,862,1448,1448,297,1448,1448,547,1448,1448,879,1448,258,33,258,880,890,1167,388,33,885,1448,1448,238,1448,1448,501,1448,1448,512,1448,156,33,326,
6 500 775,796,1075,315,33,1448,1448,1448,705,1448,1448,1448,1448,1448,1448,1448,1448,510,1448,1448,1448,1448,1448,1448,1448,1448,1139,1448,1448,1448,1448,1448,1448,1448,1448,508,1448,1448,1338,33,384,1279,1448,21,1448,157,703,33,1448,1185,1448,1448,1448,691,1448,1448,1448,1448,521,1448,1448,1448,1448,1448,220,1448,1448,240,33,1022,1359,1448,244,1448,1244,1159,33,1378,1448,826,1448,1448,127,1448,1448,1171,1448,252,33,1448,1448,1448,1137,1448,1448,1448,1448,1448,1448,1448,1448,1448,443,1448,1448,1448,1448,1448,1448,1448,1448,1448,776,1448,1448,1448,1448,1448,1448,1448,1448,1443,1448,1448,1448,342,33,1448,1139,1448,1448,1448,432,1448,1448,1448,1448,415,1448,1448,1448,1448,1243,1448,1429,33,699,1221,1448,298,1448,1176,1103,33,1448,1316,1448,1448,1448,894,1448,1448,1448,1448,905,1448,1448,1448,1448,1448,155,1448,1448,113,33,903,1448,63,1448,535,1448,1423,1177,33,1448,1157,1448,1448,1448,900,1448,1448,1448,1448,1121,1448,1448,1448,1448,1448,366,1448,1397,33,1236,1448,151,1448,697,1448,1448,211,1291,33,1448,669,1448,1448,1448,198,1448,1448,1448,1448,499,1448,1448,1448,1448,1001,1448,1031,33,1379,1448,244,1448,801,1448,1448,188,1373,33,1448,584,1448,1448,1448,463,1448,1448,1448,1448,364,1448,1448,1448,1448,692,1448,1152,33,1042,1399,1448,339,1448,1020,1213,33,1448,1367,1448,1448,1448,1366,1448,1448,1448,1448,1448,191,1448,1448,1448,1448,1448,406,1448,1448,72,33,1100,1448,264,1448,874,1448,1448,93,1349,33,1448,1294,1448,1448,1448,1188,1448,1448,1448,1448,1115,1448,1448,1448,1448,1448,430,1448,1448,55,33,1056,1448,44,1448,595,1448,1427,1242,33,1448,1339,1448,1448,1448,1106,1448,1448,1448,1448,1247,1448,1448,1448,1448,1448,194,1448,1206,33,914,1448,63,1448,624,1448,1226,1056,33,1448,1389,1448,1448,1448,1040,1448,1448,1448,1448,1165,1448,1448,1448,1448,1408,1448,1278,33,1023,1448,31,1448,615,1448,1293,1096,33,1448,1152,1448,1448,1448,1292,1448,1448,1448,1448,1230,1448,1448,1448,1448,1394,1448,1200,33,945,1448,133,1448,673,1448,1409,1023,33,1448,1135,1448,1448,1448,1423,1448,1448,1448,1448,925,1448,1448,1448,1448,1262,1448,1057,33,978,1448,162,1448,495,1448,1105,1109,33,1448,1094,1448,1448,1448,627,1448,1448,1448,1429,1448,1448,1448,1448,232,1448,751,33,958,1438,1448,281,1448,845,850,33,1448,1448,117,1448,1448,1448,1448,358,1448,1448,1448,1448,1418,1448,1448,1448,1448,1202,1448,1118,33,1175,1448,362,1448,746,1448,1161,879,
7 500 33,1448,1154,1448,1448,1448,1448,423,1448,1448,1448,1448,1290,1448,1448,1448,1448,1294,1448,678,33,997,1448,242,1448,543,1448,972,719,33,720,1448,1448,40,1448,1448,1448,1448,90,1448,1448,1448,1448,322,1448,1448,1102,33,221,873,1448,565,1448,584,1094,33,308,1374,1448,1448,578,1448,1448,1051,1448,808,33,128,633,1345,1441,952,33,254,1082,1448,1448,621,1448,1448,671,1448,512,33,84,544,1375,1267,924,33,296,1086,1448,1448,743,1448,1448,1095,1448,952,33,81,371,1298,1170,816,33,242,919,1448,1448,980,1448,1448,796,1448,694,33,71,314,1448,98,1104,605,33,231,955,1448,1448,645,1448,1448,548,1448,658,33,70,279,1448,96,1018,728,33,308,1270,1448,1448,789,1448,1448,297,1448,531,33,101,435,1376,942,640,33,321,1241,1448,1448,429,1448,1448,394,1448,597,33,133,505,1448,264,1072,976,33,329,1443,1448,1283,1448,1448,334,1448,684,33,121,467,1441,1085,585,33,276,1360,1448,1022,1448,1264,1375,33,126,565,1295,966,273,33,190,1430,1448,1331,1448,1244,1448,371,33,128,612,1260,853,292,33,165,1429,1448,1401,1448,1332,1168,33,89,724,1267,933,264,33,202,1444,1448,1448,238,1448,1448,67,1448,98,33,94,601,1448,34,897,461,33,330,1448,180,1448,1448,652,1448,1445,1448,834,33,116,698,1448,198,1187,875,33,439,1315,1448,1448,431,1448,1144,1448,875,33,116,511,1448,55,1007,893,33,400,1448,222,1448,1448,200,1448,1345,1448,500,33,98,678,1448,83,1012,698,33,556,1448,248,1448,1445,1448,1448,137,1448,418,33,170,727,1149,1059,545,33,713,1448,176,1448,1448,37,1448,1448,127,1448,757,33,345,692,1052,1041,750,33,769,1448,186,1448,1448,34,1448,1448,91,1448,291,33,363,699,1013,1381,589,33,619,1448,363,1448,1358,1448,735,1012,33,223,583,1448,317,943,385,33,1448,97,1448,1448,393,1448,1448,619,1448,1448,1448,1448,172,1448,1448,65,33,244,575,902,1448,20,973,33,350,994,1448,102,1448,1121,1448,64,33,136,260,454,620,441,33,1448,1165,1448,1448,1448,1448,1086,1448,1448,1448,1230,1448,1448,1448,1448,1448,307,1448,1448,620,33,281,182,200,405,377,33,1448,335,1448,1448,1448,527,1448,1448,1448,1448,1362,1448,1448,1448,1448,1448,360,1448,1448,355,33,234,290,421,721,518,33,974,1448,1448,468,1448,1448,1448,533,1448,1448,1448,1448,1448,1448,409,1448,1448,1233,33,249,271,380,535,411,33,196,482,710,1448,157,
8 500 941,33,47,73,77,116,92,33,1448,1384,1448,1448,1448,1448,541,1448,1448,1448,1448,133,1448,1448,1448,914,1448,1069,33,105,103,160,375,547,33,1448,526,1448,1448,461,1448,1448,116,1448,1448,186,1448,519,33,627,742,592,1069,907,33,1448,178,1448,1448,289,1448,1448,120,1448,1165,1448,375,33,492,751,566,661,665,33,1448,24,1448,1155,1448,769,1448,977,1448,49,33,497,748,547,644,520,33,1448,252,1448,1448,449,1448,1448,229,1448,1325,1448,59,33,689,693,676,824,494,33,1448,406,1448,1448,940,1448,1448,584,1448,1374,1289,33,822,902,752,776,444,33,1448,545,1448,1448,638,1448,1448,548,1448,1285,1306,33,863,945,666,693,472,33,1448,693,1448,1448,510,1448,1448,80,1448,1249,1405,33,820,927,730,601,457,33,1448,656,1448,1448,996,1448,1220,1448,1170,1374,33,1036,980,613,721,484,33,1448,386,1448,1448,1445,1448,1448,84,1448,1170,1438,33,1225,1448,101,823,894,582,33,1448,661,1448,1448,1448,341,1448,1448,544,1448,1448,146,1448,130,33,1420,1448,438,993,1040,677,33,1272,1448,1448,1448,836,1448,1448,442,1448,1448,364,1448,458,33,986,1448,383,1157,1016,843,33,1055,1448,1448,1448,1448,924,1448,1448,1448,1448,125,1448,1448,1052,1448,366,33,493,1448,1159,1448,602,1346,756,33,1448,253,1448,1448,1448,253,1448,1448,828,1448,1448,140,1448,670,33,768,1448,1448,748,1448,701,1448,324,1092,33,1448,357,1448,1448,1261,1448,1448,1177,1448,1448,1227,1448,865,33,1448,1448,1448,172,1448,1093,1448,725,1448,142,33,1448,747,1448,1448,1448,822,1448,1448,1116,1448,1448,713,1448,956,33,1344,1448,1448,144,1448,847,1448,298,1148,33,1448,697,1448,1448,1448,1080,1448,1448,1448,516,1448,1448,1067,1448,638,33,1448,82,1448,1296,1448,657,1448,770,33,1448,527,1448,1448,1338,1448,1448,1448,233,1448,1448,866,1448,653,33,815,1448,179,1448,24,1330,803,33,1448,605,1448,1448,850,1448,1448,1140,1448,1448,757,1448,646,33,629,1288,1026,1448,216,963,33,1448,517,1448,1448,1029,1448,1448,1078,1448,1448,769,1448,317,33,733,1091,943,1343,784,33,1448,642,1448,1448,574,1448,1448,924,1448,1448,472,1448,231,33,761,827,860,1207,639,33,1448,599,1448,1448,528,1448,1448,276,1448,1448,55,1312,33,666,836,734,929,523,33,1448,665,1448,1448,735,1448,1448,758,1448,1448,584,1448,59,33,805,733,865,966,518,33,1448,616,1448,1448,349,1448,1448,628,1448,1448,371,
9 500 1448,268,33,686,752,870,950,490,33,1448,1289,1448,1448,1448,473,1448,1448,1448,1448,1448,1420,1448,1448,1448,1448,1448,1448,101,1448,1448,853,33,1033,1448,48,1448,83,1448,104,925,33,1253,1448,1035,1448,1448,1448,355,1448,1448,921,1448,1363,33,713,737,1247,1296,1085,33,1245,1448,1351,1448,1448,1448,545,1448,1448,969,1448,1448,120,33,680,1131,1448,53,1103,1167,33,1046,1448,1352,1448,1448,1448,1313,1448,1448,1448,296,1448,898,33,451,1106,1448,259,1448,92,971,33,1369,1448,1448,401,1448,1448,1448,1229,1448,1448,1448,921,1448,1293,33,484,1024,1448,243,1448,298,1182,33,1344,1448,1190,1448,1448,1448,292,1448,1448,1448,1068,1448,1020,33,481,808,1448,235,1448,579,1181,33,1311,1448,1137,1448,1448,1442,1448,1448,1448,1170,1448,949,33,452,650,1302,1448,485,1002,33,1304,1448,1061,1448,1448,1323,1448,1448,1448,1409,1448,1095,33,532,736,1448,150,1448,611,1127,33,1294,1448,685,1448,1448,1075,1448,1448,1448,1448,346,1448,1061,33,525,752,1441,1448,468,1073,33,983,1448,407,1448,1448,647,1448,1448,1448,1082,1448,562,33,437,644,1222,1448,247,808,33,579,976,1448,550,1448,1448,90,1035,33,1448,1448,118,1448,1448,1448,1056,1448,1448,1448,1448,1448,323,1448,1448,1448,1448,1448,1448,1448,1084,1448,1448,1290,33,908,1448,59,1448,1448,401,1448,1448,1448,921,1448,898,33,406,468,1105,1448,288,870,33,1155,1417,1448,1448,110,1448,1448,1448,722,1448,955,33,481,449,1181,1448,88,990,33,1076,1448,242,1448,1448,511,1448,1448,1448,216,1448,1032,33,552,556,1202,1448,257,1032,33,882,1448,329,1448,1448,349,1448,1448,1338,1448,525,33,333,545,1209,1248,748,33,808,1448,273,1448,1448,227,1448,1448,1229,1421,33,327,526,1159,1415,512,33,1448,109,1448,1448,93,1448,1448,429,1448,1448,1448,428,1448,905,33,595,791,722,1040,731,33,1081,1448,71,1311,1448,702,1282,33,404,618,438,834,621,33,976,1448,44,1158,1448,638,1353,33,389,489,412,817,522,33,694,1448,67,1219,1448,385,1407,33,298,580,516,692,549,33,508,1448,266,1448,25,1448,389,1086,33,169,552,402,674,505,33,770,1448,387,1367,1448,350,1278,33,283,760,454,715,544,33,810,1448,454,1343,1448,846,1089,33,332,829,489,906,635,33,978,1448,419,1448,813,1448,1448,49,1413,33,552,934,779,1448,23,935,33,1007,1448,282,1448,702,1448,1448,242,1448,136,33,652,910,1068,1330,888,33,931,1448,
10 500 118,1448,492,1448,1400,1448,68,33,611,923,1124,1238,685,33,961,1448,389,1448,78,1448,1265,1448,107,33,474,816,859,1448,128,809,33,956,1424,1262,1448,957,1010,33,390,592,446,1111,636,33,950,1105,1253,1448,864,1448,127,33,470,491,453,727,764,33,997,984,1050,1448,316,1448,33,33,365,313,311,390,469,33,902,989,982,1448,270,1409,33,405,325,322,531,589,33,1448,1448,76,1448,1448,1448,1448,1448,252,1448,1448,1448,1448,1448,1257,1448,1448,1448,1448,1448,157,1448,1154,33,699,1448,55,1448,1448,317,1448,1211,1157,33,1448,353,1448,1314,1448,1448,1448,307,1448,1448,1448,895,1448,487,33,565,951,1448,296,1448,349,1042,33,1347,1448,1321,1448,1448,1448,510,1448,1448,1448,784,1448,506,33,455,941,1448,360,1448,362,905,33,1448,336,1448,1448,1281,1448,1448,1448,1448,300,1448,1448,1448,1387,1448,634,33,544,1191,1448,666,1448,857,1033,33,1243,1448,1388,1448,1448,1448,23,1448,1448,1448,698,1448,634,33,526,906,1448,182,1448,604,1125,33,1448,226,1448,1448,20,1448,1448,1448,719,1448,1448,1448,1448,106,1448,832,33,503,809,1448,367,1448,831,1155,33,1390,1448,1448,207,1448,1448,1448,382,1448,1448,1448,850,1448,282,33,420,849,1448,227,1448,708,728,33,1073,1448,953,1448,1448,1285,1448,1448,1448,616,1448,337,33,420,894,1448,370,1448,601,722,33,1428,1448,1261,1448,1448,1448,244,1448,1448,1448,147,1448,219,33,489,807,1448,384,1448,256,737,33,1448,20,1448,1293,1448,1448,1448,322,1448,1448,1448,512,1448,651,33,486,760,1448,335,1448,485,922,33,1094,1448,948,1448,1448,1127,1448,1448,1448,614,1448,631,33,443,803,1217,1448,481,844,33,1088,1448,1231,1448,1448,1323,1448,1448,1448,18,1448,302,33,415,943,1448,71,1448,116,664,33,1448,1084,1448,1448,1448,887,1448,1448,1448,522,1448,1448,1448,1448,1448,383,1448,1448,545,33,607,1079,1448,601,1448,1075,1254,33,1076,1448,264,1310,1448,230,783,33,493,552,369,283,103,33,965,1448,130,1286,1448,259,633,33,378,492,434,342,117,33,1156,1448,157,1314,1448,249,768,33,449,605,367,263,100,33,1396,1448,37,1059,1302,412,33,525,476,333,241,99,33,1448,139,1448,767,1287,1344,671,33,661,810,288,214,89,33,1046,1448,167,755,698,508,33,520,874,292,298,157,33,1266,1448,692,1155,1448,227,1019,33,486,696,273,156,230,33,1448,72,1448,672,1043,1448,73,1071,33,543,
